t,x(t),v(t),F(t) (added)
4.099997,-1.165904,1.613396,116.5904
4.119997,-1.133169,1.636714,113.3169
4.139997,-1.099982,1.659378,109.9982
4.159997,-1.066354,1.681377,106.6354
4.179997,-1.0323,1.702704,103.23
4.199997,-0.9978333,1.72335,99.78333
4.219997,-0.9629671,1.743307,96.29671
4.239997,-0.9277158,1.762566,92.77158
4.259997,-0.8920934,1.781121,89.20934
4.279997,-0.8561141,1.798962,85.61141
4.299997,-0.8197924,1.816085,81.97924
4.319997,-0.7831428,1.832481,78.31428
4.339997,-0.7461799,1.848143,74.618
4.359997,-0.7089186,1.863067,70.89186
4.379997,-0.6713737,1.877245,67.13737
4.399997,-0.6335602,1.890673,63.35602
4.419997,-0.5954933,1.903344,59.54933
4.439997,-0.5571882,1.915254,55.71882
4.459997,-0.5186602,1.926398,51.86602
4.479997,-0.4799248,1.936771,47.99248
4.499997,-0.4409974,1.94637,44.09974
4.519997,-0.4018936,1.955189,40.18937
4.539997,-0.3626291,1.963227,36.26291
4.559997,-0.3232195,1.97048,32.32195
4.579997,-0.2836806,1.976944,28.36806
4.599997,-0.2440282,1.982618,24.40282
4.619997,-0.2042783,1.987499,20.42783
4.639997,-0.1644466,1.991584,16.44466
4.659997,-0.1245491,1.994873,12.45491
4.679996,-0.08460184,1.997364,8.460184
4.699996,-0.04462072,1.999056,4.462072
4.719996,-0.004621752,1.999949,0.4621752
4.739996,0.03537907,2.000041,-3.537907
4.759996,0.07536574,1.999333,-7.536574
4.779996,0.1153223,1.997826,-11.53223
4.799996,0.1552327,1.99552,-15.52326
4.819996,0.195081,1.992415,-19.50809
4.839996,0.2348512,1.988513,-23.48512
4.859996,0.2745275,1.983816,-27.45275
4.879996,0.3140941,1.978326,-31.40941
4.899996,0.3535349,1.972044,-35.35349
4.919996,0.3928344,1.964973,-39.28344
4.939996,0.4319767,1.957117,-43.19767
4.959996,0.4709463,1.948477,-47.09463
4.979996,0.5097274,1.939058,-50.97274
4.999996,0.5483047,1.928864,-54.83047
5.019996,0.5866627,1.917897,-58.66626
5.039996,0.624786,1.906164,-62.4786
5.059996,0.6626593,1.893668,-66.26594
5.079996,0.7002677,1.880415,-70.02676
5.099996,0.7375959,1.86641,-73.75958
5.119996,0.774629,1.851658,-77.4629
5.139996,0.8113523,1.836165,-81.13523
5.159996,0.8477511,1.819938,-84.77511
5.179996,0.8838108,1.802983,-88.38107
5.199996,0.9195169,1.785307,-91.95169
5.219996,0.9548553,1.766917,-95.48553
5.239996,0.9898117,1.74782,-98.98116
5.259996,1.024372,1.728024,-102.4372
5.279996,1.058523,1.707536,-105.8523
5.299996,1.09225,1.686366,-109.225
5.319996,1.12554,1.664521,-112.554
5.339996,1.158381,1.64201,-115.8381
5.359996,1.190758,1.618842,-119.0758
5.379996,1.222658,1.595027,-122.2658
5.399996,1.25407,1.570574,-125.407
5.419996,1.28498,1.545493,-128.498
5.439996,1.315375,1.519793,-131.5376
5.459996,1.345245,1.493485,-134.5245
5.479996,1.374577,1.466581,-137.4577
5.499996,1.403358,1.439089,-140.3358
5.519996,1.431579,1.411022,-143.1579
5.539996,1.459227,1.38239,-145.9227
5.559996,1.486291,1.353206,-148.6291
5.579996,1.51276,1.32348,-151.276
5.599996,1.538625,1.293225,-153.8625
5.619996,1.563874,1.262452,-156.3874
5.639996,1.588497,1.231175,-158.8497
5.659996,1.612486,1.199405,-161.2486
5.679996,1.635829,1.167155,-163.5829
5.699996,1.658517,1.134439,-165.8517
5.719995,1.680543,1.101268,-168.0543
5.739995,1.701896,1.067657,-170.1896
5.759995,1.722568,1.033619,-172.2568
5.779995,1.742552,0.999168,-174.2552
5.799995,1.761838,0.964317,-176.1838
5.819995,1.78042,0.9290802,-178.042
5.839995,1.798289,0.8934718,-179.8289
5.859995,1.815439,0.857506,-181.5439
5.879995,1.831863,0.8211973,-183.1863
5.899995,1.847554,0.78456,-184.7554
5.919995,1.862507,0.747609,-186.2507
5.939995,1.876714,0.7103589,-187.6714
5.959995,1.89017,0.6728246,-189.017
5.979995,1.902871,0.6350212,-190.2871
5.999995,1.91481,0.5969638,-191.481
6.019995,1.925983,0.5586675,-192.5983
6.039995,1.936386,0.5201479,-193.6386
6.059995,1.946015,0.4814201,-194.6015
6.079995,1.954865,0.4424998,-195.4865
6.099995,1.962933,0.4034026,-196.2933
6.119995,1.970216,0.3641439,-197.0216
6.139995,1.97671,0.3247396,-197.671
6.159995,1.982414,0.2852054,-198.2415
6.179995,1.987326,0.2455571,-198.7326
6.199995,1.991442,0.2058106,-199.1442
6.219995,1.994761,0.1659818,-199.4762
6.239995,1.997283,0.1260865,-199.7283
6.259995,1.999006,0.08614087,-199.9006
6.279995,1.999929,0.04616075,-199.9929
6.299995,2.000052,0.006162165,-200.0052
6.319995,1.999376,-0.03383888,-199.9376
6.339995,1.997899,-0.07382639,-199.7899
6.359995,1.995623,-0.1137844,-199.5623
6.379995,1.99255,-0.1536968,-199.255
6.399995,1.988679,-0.1935478,-198.8679
6.419995,1.984012,-0.2333214,-198.4012
6.439995,1.978552,-0.2730016,-197.8552
6.459995,1.972301,-0.3125727,-197.2301
6.479995,1.96526,-0.3520187,-196.526
6.499995,1.957434,-0.3913239,-195.7434
6.519995,1.948824,-0.4304726,-194.8824
6.539995,1.939435,-0.4694491,-193.9435
6.559995,1.929271,-0.5082378,-192.9271
6.579995,1.918334,-0.5468233,-191.8334
6.599995,1.90663,-0.5851899,-190.663
6.619995,1.894164,-0.6233225,-189.4164
6.639995,1.88094,-0.6612058,-188.094
6.659995,1.866963,-0.6988246,-186.6963
6.679995,1.85224,-0.7361639,-185.224
6.699995,1.836776,-0.7732087,-183.6776
6.719995,1.820577,-0.8099443,-182.0577
6.739995,1.80365,-0.8463558,-180.365
6.759995,1.786001,-0.8824288,-178.6001
6.779994,1.767638,-0.9181488,-176.7638
6.799994,1.748568,-0.9535016,-174.8568
6.819994,1.728799,-0.9884729,-172.8799
6.839994,1.708338,-1.023049,-170.8338
6.859994,1.687194,-1.057216,-168.7194
6.879994,1.665374,-1.09096,-166.5374
6.899994,1.642889,-1.124267,-164.2889
6.919994,1.619747,-1.157125,-161.9747
6.939994,1.595956,-1.18952,-159.5956
6.959994,1.571527,-1.221439,-157.1527
6.979994,1.54647,-1.252869,-154.647
6.999994,1.520794,-1.283799,-152.0794
7.019994,1.49451,-1.314215,-149.451
7.039994,1.467628,-1.344105,-146.7628
7.059994,1.440158,-1.373457,-144.0159
7.079994,1.412113,-1.402261,-141.2113
7.099994,1.383503,-1.430503,-138.3503
7.119994,1.35434,-1.458173,-135.434
7.139994,1.324635,-1.48526,-132.4635
7.159994,1.294399,-1.511752,-129.44
7.179994,1.263647,-1.53764,-126.3647
7.199994,1.232388,-1.562913,-123.2388
7.219994,1.200637,-1.587561,-120.0637
7.239994,1.168406,-1.611574,-116.8406
7.259994,1.135707,-1.634942,-113.5707
7.279994,1.102554,-1.657656,-110.2554
7.299994,1.06896,-1.679707,-106.896
7.319994,1.034938,-1.701086,-103.4938
7.339994,1.000502,-1.721785,-100.0502
7.359994,0.9656664,-1.741795,-96.56664
7.379994,0.9304442,-1.761108,-93.04442
7.399994,0.8948498,-1.779717,-89.48499
7.419994,0.8588976,-1.797614,-85.88976
7.439994,0.8226017,-1.814792,-82.26017
7.459994,0.7859768,-1.831244,-78.59768
7.479994,0.7490376,-1.846964,-74.90376
7.499994,0.7117987,-1.861945,-71.17987
7.519994,0.674275,-1.876181,-67.42751
7.539994,0.6364817,-1.889666,-63.64817
7.559994,0.5984338,-1.902396,-59.84338
7.579994,0.5601465,-1.914365,-56.01465
7.599994,0.5216352,-1.925568,-52.16352
7.619994,0.4829152,-1.936,-48.29152
7.639994,0.444002,-1.945659,-44.4002
7.659994,0.4049112,-1.954539,-40.49112
7.679994,0.3656585,-1.962637,-36.56585
7.699994,0.3262595,-1.96995,-32.62595
7.719994,0.28673,-1.976475,-28.673
7.739994,0.2470858,-1.98221,-24.70858
7.759994,0.2073428,-1.987151,-20.73428
7.779994,0.1675168,-1.991298,-16.75168
7.799994,0.1276238,-1.994649,-12.76238
7.819993,0.08767982,-1.997201,-8.767982
7.839993,0.04770073,-1.998955,-4.770072
7.859993,0.007702552,-1.999909,-0.7702552
7.879993,-0.0322987,-2.000063,3.22987
7.899993,-0.07228704,-1.999417,7.228704
7.919993,-0.1122465,-1.997971,11.22465
7.939993,-0.152161,-1.995726,15.2161
7.959993,-0.1920146,-1.992683,19.20146
7.979993,-0.2317915,-1.988842,23.17915
7.999993,-0.2714756,-1.984207,27.14756
8.019994,-0.3110512,-1.978777,31.10512
8.039994,-0.3505023,-1.972556,35.05023
8.059995,-0.3898132,-1.965546,38.98132
8.079995,-0.4289682,-1.95775,42.89682
8.099996,-0.4679516,-1.94917,46.79516
8.119996,-0.5067478,-1.939811,50.67479
8.139997,-0.5453414,-1.929676,54.53414
8.159997,-0.5837168,-1.91877,58.37167
8.179997,-0.6218587,-1.907095,62.18587
8.199998,-0.6597518,-1.894658,65.97518
8.219998,-0.6973811,-1.881463,69.73811
8.239999,-0.7347314,-1.867515,73.47314
8.259999,-0.7717878,-1.852821,77.17878
8.28,-0.8085355,-1.837385,80.85355
8.3,-0.8449597,-1.821214,84.49597
8.320001,-0.8810461,-1.804315,88.10461
8.340001,-0.9167799,-1.786694,91.67799
8.360002,-0.9521471,-1.768359,95.21471
8.380002,-0.9871334,-1.749316,98.71334
8.400002,-1.021725,-1.729573,102.1725
8.420003,-1.055908,-1.709139,105.5908
8.440003,-1.089668,-1.68802,108.9668
8.460004,-1.122993,-1.666227,112.2993
8.480004,-1.155868,-1.643767,115.5868
8.500005,-1.188281,-1.62065,118.8281
8.520005,-1.220219,-1.596884,122.0219
8.540006,-1.251668,-1.57248,125.1668
8.560006,-1.282617,-1.547446,128.2617
8.580007,-1.313053,-1.521794,131.3053
8.600007,-1.342964,-1.495533,134.2964
8.620008,-1.372337,-1.468674,137.2337
8.640008,-1.401162,-1.441227,140.1162
8.660008,-1.429426,-1.413204,142.9426
8.680009,-1.457118,-1.384615,145.7118
8.700009,-1.484228,-1.355473,148.4228
8.72001,-1.510743,-1.325788,151.0744
8.74001,-1.536655,-1.295573,153.6655
8.760011,-1.561952,-1.26484,156.1952
8.780011,-1.586624,-1.233601,158.6624
8.800012,-1.610661,-1.201869,161.0661
8.820012,-1.634054,-1.169656,163.4054
8.840013,-1.656794,-1.136975,165.6794
8.860013,-1.678871,-1.103839,167.8871
8.880013,-1.700276,-1.070261,170.0276
8.900014,-1.721001,-1.036256,172.1001
8.920014,-1.741038,-1.001836,174.1038
8.940015,-1.760378,-0.967015,176.0378
8.960015,-1.779014,-0.9318074,177.9014
8.980016,-1.796939,-0.8962271,179.6938
9.000016,-1.814144,-0.8602884,181.4144
9.020017,-1.830624,-0.8240055,183.0624
9.040017,-1.846372,-0.787393,184.6372
9.060018,-1.861382,-0.7504655,186.1382
9.080018,-1.875646,-0.7132379,187.5646
9.100019,-1.889161,-0.675725,188.9161
9.120019,-1.90192,-0.6379418,190.192
9.140019,-1.913918,-0.5999034,191.3918
9.16002,-1.92515,-0.5616251,192.515
9.18002,-1.935613,-0.5231221,193.5612
9.200021,-1.945301,-0.4844098,194.5301
9.220021,-1.954211,-0.4455038,195.4211
9.240022,-1.962339,-0.4064196,196.2339
9.260022,-1.969683,-0.3671728,196.9683
9.280023,-1.976238,-0.3277791,197.6238
9.300023,-1.982003,-0.2882544,198.2003
9.320024,-1.986976,-0.2486143,198.6976
9.340024,-1.991153,-0.2088748,199.1153
9.360024,-1.994534,-0.1690517,199.4534
9.380025,-1.997117,-0.129161,199.7117
9.400025,-1.998902,-0.08921868,199.8902
9.420026,-1.999886,-0.04924065,199.9886
9.440026,-2.000071,-0.00924293,200.0071
9.460027,-1.999456,0.0307585,199.9456
9.480027,-1.998041,0.07074761,199.8041
9.500028,-1.995827,0.1107084,199.5827
9.520028,-1.992815,0.150625,199.2814
9.540029,-1.989005,0.1904813,198.9005
9.560029,-1.9844,0.2302614,198.44
9.580029,-1.979001,0.2699493,197.9001
9.60003,-1.97281,0.3095294,197.281
9.62003,-1.965831,0.3489856,196.5831
9.640031,-1.958065,0.3883021,195.8065
9.660031,-1.949515,0.4274634,194.9515
9.680032,-1.940186,0.4664538,194.0186
9.700032,-1.930081,0.5052575,193.0081
9.720033,-1.919204,0.5438591,191.9204
9.740033,-1.907559,0.5822432,190.7559
9.760034,-1.895151,0.6203944,189.5151
9.780034,-1.881985,0.6582974,188.1985
9.800035,-1.868067,0.6959371,186.8067
9.820035,-1.853401,0.7332984,185.3401
9.840035,-1.837993,0.7703664,183.7993
9.860036,-1.821851,0.8071263,182.1851
9.880036,-1.80498,0.8435633,180.498
9.900037,-1.787386,0.8796629,178.7386
9.920037,-1.769078,0.9154106,176.9078
9.940038,-1.750062,0.9507922,175.0062
9.960038,-1.730346,0.9857934,173.0346
9.980039,-1.709938,1.0204,170.9938
10.00004,-1.688846,1.054599,168.8846
10.02004,-1.667079,1.088376,166.7079
10.04004,-1.644645,1.121717,164.4645
10.06004,-1.621552,1.15461,162.1552
10.08004,-1.597812,1.187041,159.7812
10.10004,-1.573432,1.218998,157.3432
10.12004,-1.548422,1.250466,154.8422
10.14004,-1.522794,1.281435,152.2794
10.16004,-1.496556,1.31189,149.6556
10.18004,-1.46972,1.341822,146.972
10.20004,-1.442295,1.371216,144.2295
10.22004,-1.414294,1.400062,141.4294
10.24004,-1.385727,1.428348,138.5727
10.26005,-1.356606,1.456062,135.6606
10.28005,-1.326942,1.483194,132.6942
10.30005,-1.296747,1.509733,129.6747
10.32005,-1.266034,1.535668,126.6034
10.34005,-1.234814,1.560989,123.4814
10.36005,-1.2031,1.585685,120.31
10.38005,-1.170905,1.609747,117.0905
10.40005,-1.138242,1.633165,113.8242
10.42005,-1.105124,1.65593,110.5124
10.44005,-1.071563,1.678032,107.1563
10.46005,-1.037574,1.699464,103.7574
10.48005,-1.003169,1.720215,100.3169
10.50005,-0.9683637,1.740278,96.83637
10.52005,-0.9331708,1.759646,93.31708
10.54005,-0.8976046,1.778309,89.76046
10.56005,-0.8616794,1.796261,86.16794
10.58005,-0.8254095,1.813495,82.54095
10.60005,-0.7888094,1.830003,78.88094
10.62005,-0.7518938,1.845779,75.18938
10.64005,-0.7146775,1.860817,71.46774
10.66005,-0.6771752,1.875111,67.71752
10.68005,-0.6394022,1.888654,63.94022
10.70006,-0.6013733,1.901442,60.13733
10.72006,-0.5631039,1.91347,56.31039
10.74006,-0.5246093,1.924732,52.46093
10.76006,-0.4859048,1.935224,48.59048
10.78006,-0.4470059,1.944942,44.70059
10.80006,-0.4079283,1.953882,40.79283
10.82006,-0.3686875,1.962041,36.86875
10.84006,-0.3292992,1.969414,32.92992
10.86006,-0.2897792,1.976,28.97792
10.88006,-0.2501433,1.981796,25.01433
10.90006,-0.2104073,1.986799,21.04073
10.92006,-0.1705872,1.991007,17.05872
10.94006,-0.1306988,1.994419,13.06988
10.96006,-0.09075813,1.997033,9.075813
10.98006,-0.05078118,1.998848,5.078117
11.00006,-0.01078391,1.999864,1.078391
11.02006,0.02921768,2.000079,-2.921767
11.04006,0.06920757,1.999495,-6.920757
11.06006,0.1091698,1.998111,-10.91698
11.08006,0.1490883,1.995927,-14.90883
11.10006,0.1889472,1.992945,-18.89472
11.12006,0.2287306,1.989166,-22.87306
11.14007,0.2684224,1.984592,-26.84224
11.16007,0.3080069,1.979223,-30.80069
11.18007,0.3474681,1.973063,-34.74681
11.20007,0.3867904,1.966114,-38.67904
11.22007,0.4259579,1.958378,-42.59579
11.24007,0.4649551,1.949859,-46.49551
11.26007,0.5037663,1.94056,-50.37663
11.28007,0.542376,1.930484,-54.2376
11.30007,0.5807687,1.919637,-58.07687
11.32007,0.6189291,1.908021,-61.89291
11.34007,0.656842,1.895643,-65.6842
11.36007,0.6944921,1.882506,-69.44921
11.38007,0.7318645,1.868616,-73.18645
11.40007,0.768944,1.853979,-76.8944
11.42007,0.805716,1.8386,-80.5716
11.44007,0.8421658,1.822486,-84.21658
11.46007,0.8782786,1.805642,-87.82786
11.48007,0.9140401,1.788077,-91.40401
11.50007,0.9494361,1.769796,-94.9436
11.52007,0.9844522,1.750807,-98.44522
11.54007,1.019075,1.731118,-101.9075
11.56007,1.053289,1.710737,-105.3289
11.58008,1.087083,1.689671,-108.7083
11.60008,1.120441,1.667929,-112.0441
11.62008,1.153352,1.645521,-115.3352
11.64008,1.185801,1.622454,-118.5801
11.66008,1.217776,1.598738,-121.7776
11.68008,1.249263,1.574382,-124.9263
11.70008,1.280251,1.549397,-128.0251
11.72008,1.310727,1.523792,-131.0727
11.74008,1.340679,1.497577,-134.0679
11.76008,1.370094,1.470764,-137.0094
11.78008,1.398961,1.443362,-139.8961
11.80008,1.427269,1.415382,-142.7269
11.82008,1.455006,1.386837,-145.5006
11.84008,1.48216,1.357737,-148.216
11.86008,1.508722,1.328094,-150.8722
11.88008,1.534681,1.297919,-153.4681
11.90008,1.560025,1.267226,-156.0025
11.92008,1.584746,1.236025,-158.4746
11.94008,1.608832,1.20433,-160.8832
11.96008,1.632275,1.172154,-163.2275
11.98008,1.655066,1.139508,-165.5066
12.00008,1.677194,1.106407,-167.7194
12.02009,1.698651,1.072863,-169.8651
12.04009,1.719429,1.03889,-171.9429
12.06009,1.739519,1.004501,-173.9519
12.08009,1.758913,0.9697111,-175.8913
12.10009,1.777604,0.9345328,-177.7604
12.12009,1.795583,0.8989807,-179.5583
12.14009,1.812845,0.8630691,-181.2845
12.16009,1.829381,0.8268121,-182.9381
12.18009,1.845186,0.7902246,-184.5186
12.20009,1.860252,0.7533208,-186.0252
12.22009,1.874574,0.7161158,-187.4574
12.24009,1.888147,0.6786243,-188.8147
12.26009,1.900964,0.6408613,-190.0964
12.28009,1.913021,0.602842,-191.3021
12.30009,1.924312,0.5645816,-192.4312
12.32009,1.934834,0.5260954,-193.4834
12.34009,1.944582,0.4873987,-194.4582
12.36009,1.953552,0.4485071,-195.3552
12.38009,1.961741,0.409436,-196.1741
12.40009,1.969145,0.3702012,-196.9145
12.42009,1.975761,0.3308183,-197.5761
12.44009,1.981588,0.2913031,-198.1588
12.4601,1.986621,0.2516713,-198.6621
12.4801,1.99086,0.2119389,-199.086
12.5001,1.994302,0.1721217,-199.4302
12.5201,1.996947,0.1322357,-199.6947
12.5401,1.998793,0.09229673,-199.8793
12.5601,1.999839,0.05232088,-199.9839
12.5801,2.000086,0.0123241,-200.0086
12.6001,1.999532,-0.02767761,-199.9532
12.6201,1.998179,-0.06766825,-199.8179
12.6401,1.996026,-0.1076318,-199.6026
12.6601,1.993075,-0.1475523,-199.3075
12.6801,1.989327,-0.1874138,-198.9327
