t,z(t),v(t),F(t) (added)
2.599998,1.584266,0.9904964,-158.4266
2.619998,1.603443,0.958811,-160.3443
2.639998,1.621978,0.9267422,-162.1978
2.659998,1.639864,0.8943027,-163.9864
2.679998,1.657094,0.8615054,-165.7094
2.699998,1.673661,0.8283635,-167.3661
2.719998,1.689559,0.7948903,-168.9559
2.739998,1.704781,0.7610992,-170.4781
2.759998,1.719321,0.7270036,-171.9321
2.779998,1.733173,0.6926172,-173.3173
2.799998,1.746332,0.6579537,-174.6332
2.819998,1.758793,0.6230271,-175.8793
2.839998,1.77055,0.5878512,-177.055
2.859998,1.781599,0.5524402,-178.1599
2.879998,1.791935,0.5168083,-179.1935
2.899998,1.801554,0.4809696,-180.1554
2.919998,1.810453,0.4449385,-181.0453
2.939998,1.818627,0.4087294,-181.8627
2.959998,1.826074,0.3723569,-182.6075
2.979998,1.832791,0.3358354,-183.2791
2.999998,1.838775,0.2991796,-183.8775
3.019998,1.844023,0.2624041,-184.4023
3.039998,1.848533,0.2255236,-184.8533
3.059998,1.852304,0.188553,-185.2304
3.079998,1.855335,0.1515069,-185.5335
3.099998,1.857623,0.1144002,-185.7623
3.119998,1.859168,0.07724772,-185.9168
3.139998,1.859969,0.04006437,-185.9969
3.159998,1.860026,0.002864998,-186.0026
3.179998,1.859339,-0.03433553,-185.9339
3.199998,1.857909,-0.07152231,-185.7909
3.219998,1.855735,-0.1086805,-185.5735
3.239998,1.85282,-0.1457952,-185.282
3.259998,1.849163,-0.1828516,-184.9163
3.279998,1.844766,-0.2198348,-184.4766
3.299998,1.839631,-0.2567301,-183.9631
3.319998,1.833761,-0.2935228,-183.3761
3.339998,1.827157,-0.330198,-182.7157
3.359998,1.819822,-0.3667411,-181.9822
3.379997,1.811759,-0.4031376,-181.1759
3.399997,1.802972,-0.4393727,-180.2972
3.419997,1.793463,-0.4754322,-179.3463
3.439997,1.783237,-0.5113015,-178.3237
3.459997,1.772298,-0.5469662,-177.2298
3.479997,1.76065,-0.5824121,-176.065
3.499997,1.748297,-0.6176251,-174.8297
3.519997,1.735245,-0.652591,-173.5245
3.539997,1.721499,-0.687296,-172.1499
3.559997,1.707065,-0.7217259,-170.7065
3.579997,1.691947,-0.7558672,-169.1947
3.599997,1.676153,-0.7897062,-167.6153
3.619997,1.659689,-0.8232293,-165.9689
3.639997,1.64256,-0.856423,-164.256
3.659997,1.624775,-0.8892742,-162.4775
3.679997,1.606339,-0.9217697,-160.6339
3.699997,1.587262,-0.9538965,-158.7262
3.719997,1.567549,-0.9856418,-156.7549
3.739997,1.547209,-1.016993,-154.7209
3.759997,1.52625,-1.047937,-152.625
3.779997,1.504681,-1.078462,-150.4681
3.799997,1.48251,-1.108556,-148.251
3.819997,1.459746,-1.138206,-145.9746
3.839997,1.436398,-1.167401,-143.6398
3.859997,1.412475,-1.196129,-141.2475
3.879997,1.387987,-1.224378,-138.7988
3.899997,1.362945,-1.252138,-136.2945
3.919997,1.337357,-1.279397,-133.7357
3.939997,1.311234,-1.306144,-131.1234
3.959997,1.284587,-1.332369,-128.4586
3.979997,1.257425,-1.358061,-125.7425
3.999997,1.229761,-1.383209,-122.9761
4.019997,1.201605,-1.407804,-120.1605
4.039997,1.172968,-1.431836,-117.2968
4.059997,1.143862,-1.455296,-114.3862
4.079997,1.114299,-1.478173,-111.4299
4.099997,1.08429,-1.500459,-108.429
4.119997,1.053847,-1.522145,-105.3847
4.139997,1.022982,-1.543222,-102.2982
4.159997,0.9917089,-1.563681,-99.17089
4.179997,0.9600385,-1.583516,-96.00385
4.199997,0.9279842,-1.602716,-92.79842
4.219997,0.8955587,-1.621276,-89.55587
4.239997,0.862775,-1.639187,-86.2775
4.259997,0.8296461,-1.656443,-82.96461
4.279997,0.7961854,-1.673036,-79.61854
4.299997,0.7624062,-1.688959,-76.24062
4.319997,0.728322,-1.704208,-72.8322
4.339997,0.6939465,-1.718774,-69.39465
4.359997,0.6592935,-1.732653,-65.92934
4.379997,0.6243767,-1.745839,-62.43767
4.399997,0.5892102,-1.758326,-58.92102
4.419997,0.553808,-1.770111,-55.3808
4.439997,0.5181842,-1.781187,-51.81842
4.459997,0.4823532,-1.791551,-48.23532
4.479997,0.4463293,-1.801198,-44.63293
4.499997,0.4101268,-1.810124,-41.01268
4.519997,0.3737603,-1.818327,-37.37603
4.539997,0.3372442,-1.825802,-33.72442
4.559997,0.3005933,-1.832547,-30.05933
4.579997,0.2638221,-1.838559,-26.38221
4.599997,0.2269454,-1.843835,-22.69454
4.619997,0.1899779,-1.848374,-18.9978
4.639997,0.1529345,-1.852174,-15.29345
4.659997,0.1158298,-1.855232,-11.58298
4.679996,0.07867886,-1.857549,-7.867886
4.699996,0.04149641,-1.859122,-4.149642
4.719996,0.004297368,-1.859952,-0.4297368
4.739996,-0.0329034,-1.860038,3.290339
4.759996,-0.07009099,-1.85938,7.009099
4.779996,-0.1072506,-1.857978,10.72506
4.799996,-0.1443672,-1.855833,14.43672
4.819996,-0.1814262,-1.852946,18.14261
4.839996,-0.2184125,-1.849318,21.84125
4.859996,-0.2553115,-1.844949,25.53115
4.879996,-0.2921084,-1.839843,29.21084
4.899996,-0.3287884,-1.834001,32.87884
4.919996,-0.3653369,-1.827425,36.53369
4.939996,-0.4017392,-1.820118,40.17392
4.959996,-0.4379809,-1.812083,43.79809
4.979996,-0.4740474,-1.803324,47.40474
4.999996,-0.5099242,-1.793843,50.99242
5.019996,-0.5455971,-1.783644,54.55972
5.039996,-0.5810518,-1.772732,58.10518
5.059996,-0.616274,-1.761111,61.6274
5.079996,-0.6512497,-1.748786,65.12497
5.099996,-0.6859649,-1.735761,68.5965
5.119996,-0.7204058,-1.722042,72.04057
5.139996,-0.7545584,-1.707633,75.45584
5.159996,-0.7884093,-1.692542,78.84093
