t,z(t),v(t),F(t) (added)
12.6001,-1.859565,0.02574032,185.9565
12.6201,-1.858307,0.06293163,185.8307
12.6401,-1.856305,0.1000978,185.6305
12.6601,-1.85356,0.1372239,185.356
12.6801,-1.850074,0.1742951,185.0074
12.7001,-1.845848,0.2112965,184.5848
12.7201,-1.840884,0.2482135,184.0884
12.7401,-1.835184,0.2850312,183.5184
12.7601,-1.828749,0.3217348,182.8749
12.7801,-1.821583,0.3583098,182.1583
12.8001,-1.813688,0.3947414,181.3688
12.8201,-1.805068,0.4310152,180.5068
12.8401,-1.795725,0.4671165,179.5725
12.8601,-1.785665,0.503031,178.5665
12.88011,-1.77489,0.5387443,177.489
12.90011,-1.763405,0.5742421,176.3405
12.92011,-1.751215,0.6095102,175.1215
12.94011,-1.738324,0.6445345,173.8324
12.96011,-1.724738,0.679301,172.4738
12.98011,-1.710462,0.7137957,171.0462
13.00011,-1.695502,0.748005,169.5502
13.02011,-1.679864,0.781915,167.9864
13.04011,-1.663553,0.8155123,166.3553
13.06011,-1.646578,0.8487834,164.6578
13.08011,-1.628943,0.8817149,162.8943
13.10011,-1.610658,0.9142938,161.0658
13.12011,-1.591727,0.946507,159.1727
13.14011,-1.572161,0.9783415,157.2161
13.16011,-1.551965,1.009785,155.1965
13.18011,-1.531148,1.040824,153.1148
13.20011,-1.509719,1.071447,150.972
13.22011,-1.487687,1.101641,148.7687
13.24011,-1.465059,1.131395,146.5059
13.26011,-1.441845,1.160696,144.1845
13.28011,-1.418054,1.189533,141.8054
13.30011,-1.393696,1.217894,139.3696
13.32012,-1.368781,1.245768,136.8781
13.34012,-1.343318,1.273144,134.3318
13.36012,-1.317318,1.30001,131.7318
13.38012,-1.290791,1.326356,129.0791
13.40012,-1.263747,1.352172,126.3747
13.42012,-1.236198,1.377447,123.6198
13.44012,-1.208155,1.402171,120.8155
13.46012,-1.179628,1.426334,117.9628
13.48012,-1.15063,1.449927,115.063
13.50012,-1.121171,1.472939,112.1171
13.52012,-1.091264,1.495363,109.1264
13.54012,-1.06092,1.517188,106.092
13.56012,-1.030152,1.538406,103.0152
13.58012,-0.9989715,1.55901,99.89716
13.60012,-0.9673917,1.578989,96.73917
13.62012,-0.935425,1.598337,93.5425
13.64012,-0.9030841,1.617045,90.30841
13.66012,-0.870382,1.635107,87.03819
13.68012,-0.8373317,1.652515,83.73316
13.70012,-0.8039464,1.669261,80.39465
13.72012,-0.7702397,1.68534,77.02396
13.74012,-0.7362248,1.700745,73.62247
13.76013,-0.7019154,1.715469,70.19154
13.78013,-0.6673253,1.729508,66.73253
13.80013,-0.6324682,1.742854,63.24681
13.82013,-0.5973581,1.755504,59.73581
13.84013,-0.5620091,1.767451,56.20091
13.86013,-0.5264353,1.778691,52.64352
13.88013,-0.4906509,1.78922,49.06509
13.90013,-0.4546702,1.799033,45.46702
13.92013,-0.4185077,1.808126,41.85077
13.94013,-0.3821777,1.816496,38.21777
13.96013,-0.3456949,1.82414,34.56949
13.98013,-0.3090739,1.831054,30.90739
14.00013,-0.2723292,1.837235,27.23292
14.02013,-0.2354755,1.842682,23.54755
14.04013,-0.1985277,1.847391,19.85277
14.06013,-0.1615004,1.851362,16.15004
14.08013,-0.1244086,1.854592,12.44086
14.10013,-0.087267,1.85708,8.726701
14.12013,-0.0500905,1.858825,5.00905
14.14013,-0.01289396,1.859827,1.289396
14.16013,0.02430774,1.860085,-2.430774
14.18013,0.06149972,1.859599,-6.149972
14.20014,0.0986671,1.858369,-9.86671
14.22014,0.135795,1.856395,-13.5795
14.24014,0.1728686,1.85368,-17.28686
14.26014,0.2098731,1.850222,-20.9873
14.28014,0.2467935,1.846025,-24.67935
14.30014,0.2836153,1.841089,-28.36153
14.32014,0.3203236,1.835416,-32.03236
14.34014,0.3569039,1.82901,-35.69038
14.36014,0.3933413,1.821872,-39.33413
14.38014,0.4296214,1.814005,-42.96214
14.40014,0.4657297,1.805413,-46.57296
14.42014,0.5016516,1.796098,-50.16516
14.44014,0.5373729,1.786065,-53.73729
14.46014,0.5728793,1.775318,-57.28793
14.48014,0.6081564,1.76386,-60.81564
14.50014,0.6431904,1.751697,-64.31904
14.52014,0.6779671,1.738833,-67.79671
14.54014,0.7124726,1.725274,-71.24725
14.56014,0.746693,1.711024,-74.6693
14.58014,0.7806149,1.69609,-78.06149
14.60014,0.8142244,1.680478,-81.42244
14.62014,0.8475083,1.664194,-84.75083
14.64015,0.8804532,1.647244,-88.04532
14.66015,0.9130459,1.629634,-91.30459
14.68015,0.9452733,1.611374,-94.52734
14.70015,0.9771227,1.592468,-97.71227
14.72015,1.008581,1.572926,-100.8581
14.74015,1.039636,1.552754,-103.9636
14.76015,1.070276,1.531961,-107.0276
14.78015,1.100487,1.510556,-110.0487
14.80015,1.130258,1.488546,-113.0258
14.82015,1.159576,1.465941,-115.9576
14.84015,1.188431,1.442749,-118.8431
14.86015,1.216811,1.418981,-121.6811
14.88015,1.244704,1.394644,-124.4704
14.90015,1.272099,1.36975,-127.2099
14.92015,1.298985,1.344308,-129.8985
14.94015,1.325352,1.318328,-132.5352
14.96015,1.351188,1.291821,-135.1188
14.98015,1.376484,1.264798,-137.6484
15.00015,1.401229,1.237268,-140.1229
15.02015,1.425414,1.209243,-142.5414
15.04015,1.449029,1.180735,-144.9029
15.06015,1.472064,1.151754,-147.2064
15.08016,1.49451,1.122313,-149.451
15.10016,1.516359,1.092423,-151.6359
15.12016,1.537601,1.062096,-153.7601
15.14016,1.558227,1.031344,-155.8227
15.16016,1.578231,1.000179,-157.8231
15.18016,1.597603,0.9686147,-159.7603
15.20016,1.616337,0.9366626,-161.6337
15.22016,1.634423,0.9043359,-163.4423
15.24016,1.651856,0.8716474,-165.1856
15.26016,1.668628,0.8386103,-166.8628
15.28016,1.684733,0.8052377,-168.4733
15.30016,1.700164,0.771543,-170.0164
15.32016,1.714915,0.7375398,-171.4915
15.34016,1.728979,0.7032415,-172.8979
15.36016,1.742353,0.6686619,-174.2353
15.38016,1.755029,0.6338148,-175.5029
15.40016,1.767003,0.5987142,-176.7003
15.42016,1.778271,0.5633742,-177.8271
15.44016,1.788827,0.5278087,-178.8827
15.46016,1.798668,0.4920322,-179.8668
15.48016,1.807789,0.4560589,-180.7789
15.50016,1.816187,0.4199031,-181.6187
15.52017,1.823858,0.3835794,-182.3858
15.54017,1.8308,0.3471022,-183.08
15.56017,1.83701,0.3104862,-183.701
15.58017,1.842485,0.273746,-184.2485
15.60017,1.847223,0.2368963,-184.7223
15.62017,1.851222,0.1999518,-185.1222
15.64017,1.854481,0.1629274,-185.4481
15.66017,1.856997,0.1258378,-185.6997
15.68017,1.858771,0.08869786,-185.8771
15.70017,1.859802,0.05152243,-185.9802
15.72017,1.860088,0.0143264,-186.0088
15.74017,1.859631,-0.02287536,-185.9631
15.76017,1.858429,-0.06006798,-185.8429
15.78017,1.856485,-0.09723657,-185.6485
15.80017,1.853797,-0.1343663,-185.3797
15.82017,1.850368,-0.1714422,-185.0368
15.84017,1.8462,-0.2084496,-184.6199
15.86017,1.841292,-0.2453736,-184.1292
15.88017,1.835648,-0.2821994,-183.5648
15.90017,1.82927,-0.3189123,-182.927
15.92017,1.82216,-0.3554977,-182.216
15.94018,1.814321,-0.3919409,-181.4321
15.96018,1.805756,-0.4282273,-180.5756
15.98018,1.796469,-0.4643425,-179.6469
16.00018,1.786464,-0.5002719,-178.6464
16.02018,1.775744,-0.5360011,-177.5744
16.04018,1.764314,-0.571516,-176.4314
16.06018,1.752178,-0.6068023,-175.2178
16.08018,1.739341,-0.6418458,-173.9341
16.10018,1.725808,-0.6766326,-172.5808
16.12018,1.711585,-0.7111488,-171.1585
16.14018,1.696677,-0.7453805,-169.6677
16.16018,1.681091,-0.779314,-168.1091
16.18018,1.664832,-0.8129359,-166.4832
16.20018,1.647908,-0.8462325,-164.7908
16.22018,1.630324,-0.8791907,-163.0324
16.24018,1.612088,-0.9117972,-161.2088
16.26018,1.593207,-0.9440389,-159.3207
16.28018,1.573689,-0.9759031,-157.3689
16.30018,1.553542,-1.007377,-155.3542
16.32018,1.532773,-1.038448,-153.2773
16.34018,1.511391,-1.069103,-151.1391
16.36018,1.489404,-1.099331,-148.9404
16.38018,1.466822,-1.129119,-146.6822
16.40018,1.443653,-1.158456,-144.3652
16.42019,1.419906,-1.187329,-141.9906
16.44019,1.395591,-1.215727,-139.5591
16.46019,1.370719,-1.243639,-137.0719
16.48019,1.345298,-1.271053,-134.5298
16.50019,1.319338,-1.297959,-131.9338
16.52019,1.292852,-1.324346,-129.2852
16.54019,1.265848,-1.350203,-126.5848
16.56019,1.238337,-1.37552,-123.8337
16.58019,1.210331,-1.400286,-121.0331
16.60019,1.181842,-1.424493,-118.1842
16.62019,1.152879,-1.44813,-115.2879
16.64019,1.123455,-1.471187,-112.3455
16.66019,1.093582,-1.493656,-109.3582
16.68019,1.063272,-1.515528,-106.3272
16.70019,1.032536,-1.536793,-103.2536
16.72019,1.001387,-1.557444,-100.1387
16.74019,0.9698374,-1.577472,-96.98374
16.76019,0.9379001,-1.596869,-93.79001
16.78019,0.9055876,-1.615627,-90.55875
16.80019,0.8729128,-1.633739,-87.29128
16.82019,0.8398888,-1.651197,-83.98888
16.84019,0.8065289,-1.667994,-80.65289
16.8602,0.7728464,-1.684125,-77.28464
16.8802,0.7388548,-1.699582,-73.88548
16.9002,0.7045676,-1.714359,-70.45676
16.9202,0.6699986,-1.72845,-66.99986
16.9402,0.6351616,-1.74185,-63.51616
16.9602,0.6000705,-1.754554,-60.00705
16.9802,0.5647395,-1.766555,-56.47395
17.0002,0.5291825,-1.77785,-52.91825
17.0202,0.4934138,-1.788433,-49.34138
17.0402,0.4574478,-1.798302,-45.74478
17.0602,0.4212988,-1.807451,-42.12988
17.0802,0.3849812,-1.815877,-38.49812
17.1002,0.3485097,-1.823576,-34.85097
17.1202,0.3118988,-1.830546,-31.18988
17.1402,0.2751631,-1.836784,-27.51631
17.1602,0.2383174,-1.842288,-23.83174
17.1802,0.2013763,-1.847054,-20.13763
17.2002,0.1643547,-1.851081,-16.43546
17.2202,0.1272673,-1.854369,-12.72673
17.2402,0.09012901,-1.856914,-9.012901
17.2602,0.05295468,-1.858716,-5.295468
17.2802,0.01575917,-1.859776,-1.575917
17.30021,-0.02144264,-1.860091,2.144264
17.32021,-0.05863588,-1.859662,5.863588
17.34021,-0.09580567,-1.858489,9.580566
17.36021,-0.1329371,-1.856573,13.29371
17.38021,-0.1700154,-1.853914,17.00154
17.40021,-0.2070257,-1.850514,20.70257
17.42021,-0.2439532,-1.846374,24.39532
17.44021,-0.2807831,-1.841494,28.07831
17.46021,-0.3175006,-1.835879,31.75006
17.48021,-0.3540912,-1.829529,35.40912
17.50021,-0.3905401,-1.822447,39.05401
17.52021,-0.4268329,-1.814636,42.68328
17.54021,-0.4629548,-1.806099,46.29549
17.56021,-0.4988917,-1.79684,49.88916
17.58021,-0.5346289,-1.786862,53.46289
17.60021,-0.5701523,-1.77617,57.01523
17.62021,-0.6054476,-1.764767,60.54476
17.64021,-0.6405007,-1.752658,64.05007
17.66021,-0.6752977,-1.739848,67.52977
17.68021,-0.7098245,-1.726342,70.98245
17.70021,-0.7440674,-1.712145,74.40675
17.72021,-0.7780127,-1.697264,77.80127
17.74022,-0.8116468,-1.681704,81.16467
17.76022,-0.8449562,-1.665471,84.49561
17.78022,-0.8779276,-1.648572,87.79276
17.80022,-0.9105479,-1.631013,91.05479
17.82022,-0.9428039,-1.612802,94.2804
17.84022,-0.9746828,-1.593946,97.46828
17.86022,-1.006172,-1.574452,100.6172
17.88022,-1.037258,-1.554329,103.7258
17.90022,-1.06793,-1.533584,106.793
17.92022,-1.098175,-1.512225,109.8175
17.94022,-1.12798,-1.490262,112.798
17.96022,-1.157334,-1.467702,115.7334
17.98022,-1.186225,-1.444555,118.6225
18.00022,-1.214642,-1.420831,121.4642
18.02022,-1.242572,-1.396538,124.2572
18.04022,-1.270006,-1.371686,127.0006
18.06022,-1.296932,-1.346286,129.6932
18.08022,-1.323339,-1.320348,132.3339
18.10022,-1.349216,-1.293881,134.9216
18.12022,-1.374554,-1.266897,137.4554
18.14022,-1.399342,-1.239406,139.9342
18.16022,-1.423571,-1.211419,142.3571
18.18023,-1.44723,-1.182947,144.723
18.20023,-1.47031,-1.154003,147.031
18.22023,-1.492802,-1.124596,149.2802
18.24023,-1.514696,-1.09474,151.4697
18.26023,-1.535985,-1.064446,153.5985
18.28023,-1.55666,-1.033727,155.666
18.30023,-1.576712,-1.002593,157.6712
18.32023,-1.596133,-0.9710591,159.6133
18.34023,-1.614916,-0.9391365,161.4916
18.36023,-1.633052,-0.9068382,163.3053
18.38023,-1.650536,-0.8741772,165.0536
18.40023,-1.667359,-0.8411664,166.7359
18.42023,-1.683516,-0.8078192,168.3516
18.44023,-1.698999,-0.7741489,169.8999
18.46023,-1.713802,-0.740169,171.3802
18.48023,-1.72792,-0.7058929,172.792
18.50023,-1.741347,-0.6713345,174.1347
18.52023,-1.754077,-0.6365076,175.4077
18.54023,-1.766105,-0.601426,176.6105
18.56023,-1.777427,-0.5661039,177.7427
18.58023,-1.788038,-0.5305553,178.8038
18.60023,-1.797934,-0.4947945,179.7934
18.62024,-1.807111,-0.4588359,180.7111
18.64024,-1.815565,-0.4226936,181.5565
18.66024,-1.823293,-0.3863823,182.3293
18.68024,-1.830291,-0.3499165,183.0291
18.70024,-1.836557,-0.3133107,183.6557
18.72024,-1.842089,-0.2765795,184.2089
18.74024,-1.846883,-0.2397377,184.6883
18.76024,-1.850939,-0.2028001,185.0939
18.78024,-1.854255,-0.1657813,185.4255
18.80024,-1.856829,-0.1286962,185.6829
18.82024,-1.85866,-0.0915596,185.866
18.84024,-1.859748,-0.0543864,185.9748
18.86024,-1.860092,-0.01719145,186.0092
18.88024,-1.859692,0.02001039,185.9691
18.90024,-1.858547,0.05720421,185.8548
18.92024,-1.85666,0.09437516,185.666
18.94024,-1.85403,0.1315084,185.403
18.96024,-1.850658,0.1685889,185.0658
18.98024,-1.846546,0.2056021,184.6546
19.00024,-1.841695,0.242533,184.1695
19.02024,-1.836108,0.2793669,183.6108
19.04025,-1.829786,0.3160891,182.9786
19.06025,-1.822732,0.3526848,182.2732
19.08025,-1.81495,0.3891394,181.495
19.10025,-1.806441,0.4254384,180.6441
19.12025,-1.79721,0.4615673,179.7209
19.14025,-1.787259,0.4975114,178.7259
19.16025,-1.776594,0.5332566,177.6594
19.18025,-1.765218,0.5687885,176.5218
19.20025,-1.753136,0.6040929,175.3136
19.22025,-1.740353,0.6391556,174.0353
19.24025,-1.726874,0.6739627,172.6874
19.26025,-1.712704,0.7085002,171.2704
19.28025,-1.697849,0.7427543,169.7849
19.30025,-1.682315,0.7767113,168.2315
19.32025,-1.666108,0.8103576,166.6107
19.34025,-1.649234,0.8436797,164.9234
19.36025,-1.631701,0.8766644,163.1701
19.38025,-1.613515,0.9092984,161.3515
19.40025,-1.594683,0.9415687,159.4683
19.42025,-1.575214,0.9734624,157.5214
19.44025,-1.555115,1.004967,155.5115
19.46025,-1.534393,1.036069,153.4393
19.48026,-1.513058,1.066757,151.3058
19.50026,-1.491118,1.097018,149.1118
19.52026,-1.468581,1.12684,146.8581
19.54026,-1.445457,1.156212,144.5457
19.56026,-1.421754,1.185121,142.1754
19.58026,-1.397483,1.213556,139.7483
19.60026,-1.372653,1.241506,137.2653
19.62026,-1.347274,1.268959,134.7274
19.64026,-1.321356,1.295904,132.1356
19.66026,-1.294909,1.322332,129.4909
19.68026,-1.267945,1.34823,126.7945
19.70026,-1.240473,1.373589,124.0473
19.72026,-1.212505,1.398398,121.2505
19.74026,-1.184052,1.422648,118.4052
19.76026,-1.155125,1.446329,115.5126
19.78026,-1.125737,1.469432,112.5737
19.80026,-1.095898,1.491947,109.5898
19.82026,-1.065621,1.513865,106.5621
19.84026,-1.034917,1.535177,103.4917
19.86026,-1.0038,1.555875,100.38
19.88026,-0.9722806,1.575951,97.22806
19.90026,-0.9403726,1.595397,94.03726
19.92027,-0.9080886,1.614204,90.80885
19.94027,-0.8754413,1.632366,87.54413
19.96027,-0.8424438,1.649875,84.24438
19.98027,-0.8091093,1.666724,80.91093
20.00027,-0.7754511,1.682906,77.54511
