t,r(t)
7.12,-2.38
7.14,-2.38
7.16,-2.38
7.18,-2.38
7.2,-2.38
7.22,-2.38
7.24,-2.38
7.26,-2.38
7.28,-2.38
7.3,-2.38
7.32,-2.38
7.34,-2.38
7.36,-2.38
7.38,-2.38
7.4,-2.38
7.42,-2.38
7.44,-2.38
7.46,-2.38
7.48,-2.38
7.5,-2.38
7.52,-2.38
7.54,-2.406456
7.56,-2.429597
7.58,-2.451771
7.6,-2.47371
7.62,-2.49556
7.64,-2.517525
7.66,-2.539346
7.68,-2.561204
7.7,-2.58304
7.72,-2.604897
7.74,-2.626763
7.76,-2.64863
7.78,-2.670497
7.8,-2.692363
7.82,-2.71423
7.84,-2.736193
7.86,-2.757971
7.88,-2.779831
7.9,-2.801697
7.92,-2.823563
7.94,-2.845429
7.96,-2.867296
7.98,-2.889162
8,-2.911029
8.02,-2.932895
8.04,-2.954762
8.059999,-2.976628
8.08,-2.998495
8.099999,-3.020361
8.12,-3.042015
8.139999,-3.063821
8.16,-3.085674
8.179999,-3.107537
8.2,-3.129403
8.22,-3.151276
8.24,-3.173394
8.26,-3.195385
8.28,-3.217211
8.3,-3.239071
8.32,-3.260905
8.34,-3.28276
8.36,-3.304625
8.38,-3.326491
8.4,-3.348358
8.42,-3.370225
8.44,-3.392092
8.46,-3.413958
8.48,-3.435825
8.5,-3.457692
8.52,-3.479559
8.54,-3.501426
8.559999,-3.523392
8.58,-3.545173
8.599999,-3.567031
8.62,-3.588994
8.639999,-3.610774
8.66,-3.632631
8.679999,-3.654496
8.7,-3.676362
8.72,-3.698229
8.74,-3.720095
8.76,-3.741962
8.78,-3.763829
8.8,-3.785695
8.82,-3.807562
8.84,-3.829428
8.86,-3.851295
8.88,-3.873161
8.9,-3.895028
8.92,-3.916894
8.94,-3.938761
8.96,-3.960627
8.98,-3.982494
9,-4.004361
9.02,-4.026227
9.04,-4.048094
9.059999,-4.06996
9.08,-4.091826
9.099999,-4.113692
9.12,-4.135558
9.139999,-4.157424
9.16,-4.17929
9.179999,-4.201156
9.2,-4.223022
9.22,-4.244888
9.24,-4.266754
9.26,-4.28862
9.28,-4.310485
9.3,-4.332351
9.32,-4.354217
9.34,-4.376082
9.36,-4.397948
9.38,-4.419814
9.4,-4.441679
9.42,-4.463544
9.44,-4.48541
9.46,-4.507276
9.48,-4.529141
9.5,-4.551034
9.52,-4.572908
9.54,-4.59474
9.559999,-4.616632
9.58,-4.638506
9.599999,-4.66034
9.62,-4.68223
9.639999,-4.704104
9.66,-4.725972
9.679999,-4.747906
9.7,-4.769715
9.719999,-4.791572
9.74,-4.813504
9.76,-4.835313
9.78,-4.857136
9.8,-4.879023
9.82,-4.900866
9.84,-4.922755
9.86,-4.944697
9.88,-4.966508
9.9,-4.988434
9.92,-5.010242
9.94,-5.032166
9.96,-5.053974
9.98,-5.075899
10,-5.097707
10.02,-5.119632
10.04,-5.141439
10.06,-5.163364
10.08,-5.185172
10.1,-5.207097
10.12,-5.228861
10.14,-5.250712
10.16,-5.272577
10.18,-5.294444
10.2,-5.31631
10.22,-5.338177
10.24,-5.360044
10.26,-5.381911
10.28,-5.403876
10.3,-5.425657
10.32,-5.447612
10.34,-5.46943
10.36,-5.491357
10.38,-5.513127
10.4,-5.535079
10.42,-5.556857
10.44,-5.57881
10.46,-5.60059
10.48,-5.622543
10.5,-5.644323
10.52,-5.666276
10.54,-5.688056
10.56,-5.710009
10.58,-5.731789
10.6,-5.753741
10.62,-5.775521
10.64,-5.797473
10.66,-5.819253
10.68,-5.841206
10.7,-5.862985
10.72,-5.884845
10.74,-5.906709
10.76,-5.928575
10.78,-5.95044
10.8,-5.972306
10.82,-5.994171
10.84,-6.016037
10.86,-6.037926
10.88,-6.0598
10.9,-6.081668
10.92,-6.103535
10.94,-6.125401
10.96,-6.147267
10.98,-6.169134
11,-6.191
11.02,-6.212866
11.04,-6.234732
11.06,-6.256598
11.08,-6.278464
11.1,-6.300331
11.12,-6.322197
11.14,-6.344063
11.16,-6.365929
11.18,-6.387795
11.2,-6.409661
11.22,-6.431528
11.24,-6.453394
11.26,-6.47526
11.28,-6.497126
11.3,-6.518992
11.32,-6.540858
11.34,-6.562725
11.36,-6.584591
11.38,-6.606457
11.4,-6.628323
11.42,-6.650189
11.44,-6.672055
11.46,-6.693922
11.48,-6.715788
11.5,-6.737654
11.52,-6.75952
11.54,-6.781386
11.56,-6.803252
11.58,-6.825119
11.6,-6.846985
11.62,-6.868851
11.64,-6.890717
11.66,-6.912583
11.68,-6.934449
11.7,-6.956316
11.72,-6.978182
11.74,-7.000048
11.76,-7.021914
11.78,-7.04378
11.8,-7.065646
11.82,-7.087512
11.84,-7.109379
11.86,-7.131245
11.88,-7.153111
11.9,-7.174977
11.92,-7.196843
11.94,-7.218709
11.96,-7.240576
11.98,-7.262442
12,-7.284308
12.02,-7.306174
12.04,-7.32804
12.06,-7.349906
12.08,-7.371773
12.1,-7.393639
12.12,-7.415505
12.14,-7.437371
12.16,-7.459237
12.18,-7.481103
12.2,-7.50297
12.22,-7.524836
12.24,-7.546702
12.26,-7.568568
12.28,-7.590434
12.3,-7.6123
12.32,-7.634167
12.34,-7.656033
12.36,-7.677899
12.38,-7.699765
12.4,-7.721631
12.42,-7.743497
12.44,-7.765364
12.46,-7.78723
12.48,-7.809096
12.5,-7.830962
12.52,-7.852828
12.54,-7.874694
12.56,-7.896561
12.58,-7.918427
12.6,-7.940293
