t,v(t)
6.56,0
6.58,0
6.6,0
6.62,0
6.64,0
6.66,0
6.68,0
6.7,0
6.72,0
6.74,0
6.76,0
6.78,0
6.8,0
6.82,0
6.84,0
6.86,0
6.88,0
6.9,0
6.92,0
6.94,0
6.96,0
6.98,0
7,0
7.02,0
7.04,0
7.06,0
7.08,0
7.1,0
7.12,0
7.14,0
7.16,0
7.18,0
7.2,0
7.22,0
7.24,0
7.26,0
7.28,0
7.3,0
7.32,0
7.34,0
7.36,0
7.38,0
7.4,0
7.42,0
7.44,0
7.46,0
7.48,0
7.5,0
7.52,0
7.54,-1.106404
7.56,-1.093334
7.58,-1.089888
7.6,-1.080954
7.62,-1.084093
7.64,-1.077759
7.66,-1.073901
7.68,-1.075129
7.7,-1.080935
7.72,-1.082786
7.74,-1.082665
7.76,-1.082526
7.78,-1.082502
7.8,-1.082527
7.82,-1.082569
7.84,-1.077075
7.86,-1.081998
7.88,-1.082481
7.9,-1.082608
7.92,-1.082817
7.94,-1.082923
7.96,-1.08299
7.98,-1.083058
8,-1.083117
8.02,-1.083176
8.04,-1.083236
8.059999,-1.083294
8.08,-1.083359
8.099999,-1.083417
8.12,-1.078646
8.139999,-1.088471
8.16,-1.09109
8.179999,-1.091651
8.2,-1.091787
8.22,-1.090893
8.24,-1.090792
8.26,-1.079663
8.28,-1.074414
8.3,-1.075487
8.32,-1.081952
8.34,-1.084265
8.36,-1.084622
8.38,-1.084533
8.4,-1.0845
8.42,-1.084486
8.44,-1.084467
8.46,-1.084459
8.48,-1.084446
8.5,-1.084342
8.52,-1.084171
8.54,-1.084023
8.559999,-1.077934
8.58,-1.081703
8.599999,-1.08278
8.62,-1.077355
8.639999,-1.081446
8.66,-1.082685
8.679999,-1.083106
8.7,-1.083202
8.72,-1.083154
8.74,-1.083128
8.76,-1.0831
8.78,-1.083073
8.8,-1.083048
8.82,-1.083022
8.84,-1.083001
8.86,-1.082982
8.88,-1.082964
8.9,-1.082955
8.92,-1.082925
8.94,-1.082838
8.96,-1.082695
8.98,-1.082532
9,-1.082371
9.02,-1.082262
9.04,-1.082233
9.059999,-1.082254
9.08,-1.08228
9.099999,-1.082384
9.12,-1.08242
9.139999,-1.082446
9.16,-1.082484
9.179999,-1.082526
9.2,-1.08256
9.22,-1.082627
9.24,-1.08269
9.26,-1.082748
9.28,-1.08281
9.3,-1.082878
9.32,-1.082936
9.34,-1.083007
9.36,-1.08306
9.38,-1.083123
9.4,-1.083173
9.42,-1.083236
9.44,-1.083296
9.46,-1.083353
9.48,-1.083402
9.5,-1.078453
9.52,-1.076941
9.54,-1.083495
9.559999,-1.078329
9.58,-1.076732
9.599999,-1.082844
9.62,-1.078278
9.639999,-1.076716
9.66,-1.076238
9.679999,-1.07615
9.7,-1.073979
9.719999,-1.075723
9.74,-1.076003
9.76,-1.073939
9.78,-1.082212
9.8,-1.078165
9.82,-1.082572
9.84,-1.078272
9.86,-1.076431
9.88,-1.073934
9.9,-1.075448
9.92,-1.073655
9.94,-1.075116
9.96,-1.073559
9.98,-1.074812
10,-1.073472
10.02,-1.074511
10.04,-1.073389
10.06,-1.074223
10.08,-1.073303
10.1,-1.073946
10.12,-1.081646
10.14,-1.084608
10.16,-1.084898
10.18,-1.084805
10.2,-1.084532
10.22,-1.084242
10.24,-1.083952
10.26,-1.083656
10.28,-1.077596
10.3,-1.081498
10.32,-1.076841
10.34,-1.07357
10.36,-1.072687
10.38,-1.080275
10.4,-1.075954
10.42,-1.080749
10.44,-1.075851
10.46,-1.080584
10.48,-1.075436
10.5,-1.080275
10.52,-1.075118
10.54,-1.08004
10.56,-1.074874
10.58,-1.079896
10.6,-1.074743
10.62,-1.079809
10.64,-1.074712
10.66,-1.079868
10.68,-1.074746
10.7,-1.080031
10.72,-1.079492
10.74,-1.080214
10.76,-1.080214
10.78,-1.080429
10.8,-1.080552
10.82,-1.080717
10.84,-1.080878
10.86,-1.078081
10.88,-1.076528
10.9,-1.076088
10.92,-1.075978
10.94,-1.075944
10.96,-1.075933
10.98,-1.075941
11,-1.075933
11.02,-1.075933
11.04,-1.075941
11.06,-1.075933
11.08,-1.075933
11.1,-1.075941
11.12,-1.075933
11.14,-1.075933
11.16,-1.075941
11.18,-1.075933
11.2,-1.075933
11.22,-1.075941
11.24,-1.075933
11.26,-1.075933
11.28,-1.075941
11.3,-1.075933
11.32,-1.075933
11.34,-1.075941
11.36,-1.075933
11.38,-1.075933
11.4,-1.075941
11.42,-1.075933
11.44,-1.075933
11.46,-1.075941
11.48,-1.075933
11.5,-1.075933
11.52,-1.075941
11.54,-1.075933
11.56,-1.075933
11.58,-1.075941
11.6,-1.075933
11.62,-1.075933
11.64,-1.075941
11.66,-1.075933
11.68,-1.075933
11.7,-1.075941
11.72,-1.075933
11.74,-1.075933
11.76,-1.075941
11.78,-1.075933
11.8,-1.075933
11.82,-1.075941
11.84,-1.075933
11.86,-1.075933
11.88,-1.075941
11.9,-1.075933
11.92,-1.075933
11.94,-1.075941
11.96,-1.075933
11.98,-1.075933
12,-1.075941
12.02,-1.075933
12.04,-1.075933
12.06,-1.075941
12.08,-1.075933
12.1,-1.075933
12.12,-1.075941
12.14,-1.075933
12.16,-1.075933
12.18,-1.075941
12.2,-1.075933
12.22,-1.075933
12.24,-1.075941
12.26,-1.075933
12.28,-1.075933
12.3,-1.075941
12.32,-1.075933
12.34,-1.075933
12.36,-1.075941
12.38,-1.075933
12.4,-1.075933
12.42,-1.075941
12.44,-1.075933
12.46,-1.075933
12.48,-1.075941
12.5,-1.075933
12.52,-1.075933
12.54,-1.075941
12.56,-1.075933
12.58,-1.075933
12.6,-1.075941
